SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Condo/Co-op,1970 Columbia St #304,San Diego,CA,92101,499000,1,1,Downtown,631,20084,2004,2,791,406,Active,,,https://www.redfin.com/CA/San-Diego/1970-Columbia-St-92101/unit-304/home/7532301,SDMLS,220025457,N,Y,32.7250604,-117.1681556
MLS Listing,,Condo/Co-op,1912 Diamond St #3,San Diego,CA,92109,949900,2,2.5,Pacific Beach,1170,6750,1994,2,812,289,Active,,,https://www.redfin.com/CA/San-Diego/1912-Diamond-St-92109/unit-3/home/7537506,SDMLS,220025394,N,Y,32.8041972,-117.2359109
MLS Listing,,Single Family Residential,5193 Winthrop St,San Diego,CA,92117,1050000,3,2,San Diego,1304,6400,2010,3,805,,Active,,,https://www.redfin.com/CA/San-Diego/5193-Winthrop-St-92117/home/4929912,SDMLS,220025348,N,Y,32.8393742,-117.1785169
MLS Listing,,Single Family Residential,1732 Gamma St,National City,CA,91950,599000,3,1,National City,962,,1952,3,623,,Active,,,https://www.redfin.com/CA/National-City/1732-Gamma-St-91950/home/5904664,SDMLS,220025279,N,Y,32.6897703,-117.0913369
MLS Listing,,Single Family Residential,4646 Del Mar Ave,San Diego,CA,92107,3499000,4,3.5,Ocean Beach,3761,7000,1998,4,930,,Pre On-Market,,,https://www.redfin.com/CA/San-Diego/4646-Del-Mar-Ave-92107/home/5335283,SDMLS,220025197,N,Y,32.7382498,-117.2491711
MLS Listing,,Condo/Co-op,1588 Santa Sabine,San Diego,CA,92154,599000,3,2.5,San Diego,1485,,2019,9,403,316,Active,,,https://www.redfin.com/CA/San-Diego/1588-Santa-Sabine-92154/home/167669197,SDMLS,220024871,N,Y,32.5648307,-117.0137679
MLS Listing,,Single Family Residential,859 60Th St,San Diego,CA,92114,549000,3,1,Encanto,926,7100,1948,9,593,,Active,,,https://www.redfin.com/CA/San-Diego/859-60th-St-92114/home/5849393,SDMLS,220024861,N,Y,32.7141839,-117.0678467
MLS Listing,,Single Family Residential,4950 Zion St,San Diego,CA,92120,850000,3,2,San Diego,1123,6000,1957,9,757,,Active,,,https://www.redfin.com/CA/San-Diego/4950-Zion-Ave-92120/home/5429442,SDMLS,220024853,N,Y,32.7930662,-117.0852232
MLS Listing,,Townhouse,3994 Carmel Brooks Way,San Diego,CA,92130,1399000,3,3,Carmel Valley,1758,4060,1985,11,796,,Active,,,https://www.redfin.com/CA/San-Diego/3994-Carmel-Brooks-Way-92130/home/4503766,SDMLS,220024673,N,Y,32.9425285,-117.2286485
MLS Listing,,Single Family Residential,10891 Caminito Alto,San Diego,CA,92131,1089000,4,3,Scripps Ranch,1858,3617,1991,16,586,180,Active,,,https://www.redfin.com/CA/San-Diego/10891-Caminito-Alto-92131/home/4833466,SDMLS,220024410,N,Y,32.9203285,-117.0635253
MLS Listing,,Condo/Co-op,3972 Albatross St #206,San Diego,CA,92103,888000,2,2.5,San Diego,1460,,2008,16,608,582,Active,,,https://www.redfin.com/CA/San-Diego/3972-Albatross-St-92103/unit-206/home/22392796,SDMLS,220024407,N,Y,32.7496616,-117.1663168
MLS Listing,,Multi-Family (2-4 Unit),635-641 25Th St,San Diego,CA,92102,1995000,0,,San Diego,2262,4679,1924,16,882,,Active,,,https://www.redfin.com/CA/San-Diego/635-25th-St-92102/home/5772606,SDMLS,220024391,N,Y,32.712386,-117.139974
MLS Listing,,Single Family Residential,5050 Williams Ave,La Mesa,CA,91942,828000,3,3.5,La Mesa,1350,7141,1953,18,613,,Active,,,https://www.redfin.com/CA/La-Mesa/5050-Williams-Ave-91942/home/5482399,SDMLS,220024142,N,Y,32.7704874,-117.0373192
MLS Listing,,Single Family Residential,13828 Via Boltana,San Diego,CA,92129,1295000,4,2.5,92129 - Rancho Penasquitos,1843,5001,1976,20,703,,Active,,,https://www.redfin.com/CA/San-Diego/13828-Via-Boltana-92129/home/4599589,CRMLS,BB22202393,N,Y,32.9657446,-117.116525
MLS Listing,,Single Family Residential,4429 Verley Ct,San Diego,CA,92117,975000,3,2,Clairemont,1599,6300,1963,23,610,,Active,,,https://www.redfin.com/CA/San-Diego/4429-Verley-Ct-92117/home/4966339,SDMLS,220023855,N,Y,32.8249311,-117.1851791
